TAS1;TAS2;TAS3;TAS4;TAS5;TAS6;TAS7;TAS8;TAS9;TAS10;TAS11;TAS12;TAS13;TAS14;TAS15;TAS16;TAS17;TAS18;TAS19;TAS20;f1;f2;f3;total;sim_A;sim_B
1;4;4;4;2;2;2;2;2;1;3;3;2;2;4;4;2;2;1;2;15;16;18;49;7;5.4
4;5;2;2;1;1;5;1;2;5;2;1;4;1;1;1;1;1;1;2;19;11;13;43;9;7
2;4;1;2;2;4;4;2;1;1;2;4;1;3;4;1;1;1;2;2;16;13;15;44;7.5;5.8
2;1;1;2;1;3;4;3;2;1;1;2;1;2;1;3;1;1;1;3;15;7;14;36;7;5.4
4;2;1;2;1;1;3;2;4;2;3;4;1;1;3;2;3;2;2;2;15;14;16;45;7;5.4
1;2;1;1;1;1;1;4;1;1;1;1;1;1;2;4;1;1;2;4;7;6;19;32;3;2.2
3;2;1;4;2;4;4;4;2;1;3;4;4;4;1;1;2;4;1;2;22;15;16;53;10.5;8.2
4;5;2;1;1;4;3;5;4;3;4;3;1;2;4;5;2;1;1;5;20;15;25;60;9.5;7.4
5;4;1;5;5;4;2;3;5;2;4;5;1;1;5;3;5;1;1;3;19;23;23;65;9;7
3;4;4;4;2;1;4;1;4;2;2;4;1;2;1;1;2;1;2;2;19;16;12;47;9;7
2;1;1;3;5;1;1;4;1;1;2;1;1;1;1;1;3;2;4;1;8;10;19;37;3.5;2.6
5;5;3;5;2;5;3;5;4;2;2;5;3;1;3;2;4;2;2;2;24;21;20;65;11.5;9
1;3;1;2;2;2;3;5;2;1;4;1;1;1;2;2;4;3;1;2;11;14;18;43;5;3.8
4;4;1;4;2;2;1;2;2;2;2;3;1;4;2;2;1;1;3;2;15;14;16;45;7;5.4
2;4;1;1;4;3;2;3;5;1;3;2;2;1;3;5;1;3;3;5;16;11;27;54;7.5;5.8
2;4;1;4;3;4;4;2;5;1;4;4;1;2;2;3;2;1;1;5;19;18;18;55;9;7
2;2;1;2;2;3;1;3;1;1;1;2;3;4;3;1;2;1;1;1;15;9;13;37;7;5.4
