"","ID","RYHMA","HARJOITUS","VETO","UUPUMUS","EPAMIELLYTTAVYYS","KIIHTYNEISYYS"
"1",1,"HIIT","H1","V1",15,5,3
"2",1,"HIIT","H1","V2",16,6,4
"3",1,"HIIT","H1","V3",18,7,5
"4",1,"HIIT","H1","V4",19,8,6
"5",2,"HIIT","H1","V1",12,2,2
"6",2,"HIIT","H1","V2",13,2,2
"7",2,"HIIT","H1","V3",15,3,3
"8",2,"HIIT","H1","V4",17,5,5
"9",3,"HIIT","H1","V1",12,2,2
"10",3,"HIIT","H1","V2",13,2,2
"11",3,"HIIT","H1","V3",15,3,3
"12",3,"HIIT","H1","V4",17,5,5
"13",4,"HIIT","H1","V1",17,7,7
"14",4,"HIIT","H1","V2",18,8,8
"15",4,"HIIT","H1","V3",19,9,8
"16",4,"HIIT","H1","V4",19,9,9
"17",5,"HIIT","H1","V1",17,7,7
"18",5,"HIIT","H1","V2",17,7,6
"19",5,"HIIT","H1","V3",18,8,6
"20",5,"HIIT","H1","V4",15,5,4
"21",6,"HIIT","H1","V1",11,5,2
"22",6,"HIIT","H1","V2",13,5,3
"23",6,"HIIT","H1","V3",15,7,4
"24",6,"HIIT","H1","V4",15,7,4
"25",7,"HIIT","H1","V1",17,6,6
"26",7,"HIIT","H1","V2",17,6,6
"27",7,"HIIT","H1","V3",17,7,7
"28",7,"HIIT","H1","V4",17,7,7
"29",8,"HIIT","H1","V1",9,4,4
"30",8,"HIIT","H1","V2",19,8,5
"31",8,"HIIT","H1","V3",16,8,7
"32",8,"HIIT","H1","V4",16,5,6
"33",9,"HIIT","H1","V1",12,3,2
"34",9,"HIIT","H1","V2",13,5,6
"35",9,"HIIT","H1","V3",15,7,6
"36",9,"HIIT","H1","V4",16,6,5
"37",10,"HIIT","H1","V1",13,5,3
"38",10,"HIIT","H1","V2",14,6,3
"39",10,"HIIT","H1","V3",16,7,4
"40",10,"HIIT","H1","V4",16,7,4
"41",11,"HIIT","H1","V1",10,3,2
"42",11,"HIIT","H1","V2",16,6,5
"43",11,"HIIT","H1","V3",19,7,5
"44",11,"HIIT","H1","V4",18,7,6
"45",12,"HIIT","H1","V1",16,3,3
"46",12,"HIIT","H1","V2",18,4,4
"47",12,"HIIT","H1","V3",20,5,4
"48",12,"HIIT","H1","V4",20,6,4
"49",13,"HIIT","H1","V1",15,1,2
"50",13,"HIIT","H1","V2",16,3,4
"51",13,"HIIT","H1","V3",17,5,6
"52",13,"HIIT","H1","V4",20,7,7
"53",1,"HIIT","H2","V1",14,3,2
"54",1,"HIIT","H2","V2",16,4,3
"55",1,"HIIT","H2","V3",17,5,4
"56",1,"HIIT","H2","V4",19,7,5
"57",2,"HIIT","H2","V1",10,1,1
"58",2,"HIIT","H2","V2",11,2,2
"59",2,"HIIT","H2","V3",15,3,3
"60",2,"HIIT","H2","V4",18,5,4
"61",3,"HIIT","H2","V1",13,3,3
"62",3,"HIIT","H2","V2",14,3,3
"63",3,"HIIT","H2","V3",15,2,4
"64",3,"HIIT","H2","V4",16,1,3
"65",4,"HIIT","H2","V1",15,7,7
"66",4,"HIIT","H2","V2",17,8,8
"67",4,"HIIT","H2","V3",19,9,8
"68",4,"HIIT","H2","V4",19,9,9
"69",5,"HIIT","H2","V1",17,6,5
"70",5,"HIIT","H2","V2",17,5,5
"71",5,"HIIT","H2","V3",17,7,7
"72",5,"HIIT","H2","V4",17,8,6
"73",6,"HIIT","H2","V1",9,2,2
"74",6,"HIIT","H2","V2",11,3,2
"75",6,"HIIT","H2","V3",13,5,3
"76",6,"HIIT","H2","V4",16,7,4
"77",7,"HIIT","H2","V1",15,6,6
"78",7,"HIIT","H2","V2",16,6,6
"79",7,"HIIT","H2","V3",17,7,7
"80",7,"HIIT","H2","V4",17,7,7
"81",8,"HIIT","H2","V1",13,3,3
"82",8,"HIIT","H2","V2",17,6,6
"83",8,"HIIT","H2","V3",17,5,6
"84",8,"HIIT","H2","V4",16,6,7
"85",9,"HIIT","H2","V1",12,3,3
"86",9,"HIIT","H2","V2",13,4,3
"87",9,"HIIT","H2","V3",15,6,4
"88",9,"HIIT","H2","V4",15,5,4
"89",10,"HIIT","H2","V1",13,3,2
"90",10,"HIIT","H2","V2",15,4,3
"91",10,"HIIT","H2","V3",16,5,4
"92",10,"HIIT","H2","V4",17,6,4
"93",11,"HIIT","H2","V1",14,4,3
"94",11,"HIIT","H2","V2",17,7,5
"95",11,"HIIT","H2","V3",19,8,7
"96",11,"HIIT","H2","V4",19,9,8
"97",12,"HIIT","H2","V1",10,2,1
"98",12,"HIIT","H2","V2",13,3,1
"99",12,"HIIT","H2","V3",15,4,2
"100",12,"HIIT","H2","V4",20,5,2
"101",13,"HIIT","H2","V1",13,4,4
"102",13,"HIIT","H2","V2",16,6,5
"103",13,"HIIT","H2","V3",17,7,6
"104",13,"HIIT","H2","V4",20,9,7
"105",1,"HIIT","H3","V1",15,3,3
"106",1,"HIIT","H3","V2",16,4,4
"107",1,"HIIT","H3","V3",17,5,5
"108",1,"HIIT","H3","V4",18,6,5
"109",2,"HIIT","H3","V1",9,1,1
"110",2,"HIIT","H3","V2",12,2,2
"111",2,"HIIT","H3","V3",15,4,3
"112",2,"HIIT","H3","V4",17,5,4
"113",3,"HIIT","H3","V1",14,3,3
"114",3,"HIIT","H3","V2",15,4,4
"115",3,"HIIT","H3","V3",16,4,5
"116",3,"HIIT","H3","V4",16,3,5
"117",4,"HIIT","H3","V1",15,7,6
"118",4,"HIIT","H3","V2",17,8,8
"119",4,"HIIT","H3","V3",19,9,8
"120",4,"HIIT","H3","V4",19,9,9
"121",5,"HIIT","H3","V1",13,3,3
"122",5,"HIIT","H3","V2",15,5,4
"123",5,"HIIT","H3","V3",16,6,5
"124",5,"HIIT","H3","V4",17,7,6
"125",6,"HIIT","H3","V1",8,3,2
"126",6,"HIIT","H3","V2",11,4,2
"127",6,"HIIT","H3","V3",13,3,3
"128",6,"HIIT","H3","V4",11,4,2
"129",7,"HIIT","H3","V1",15,5,5
"130",7,"HIIT","H3","V2",15,6,6
"131",7,"HIIT","H3","V3",16,6,6
"132",7,"HIIT","H3","V4",17,7,7
