"ID","SUKUP","KATISYYS","ITSEHILLINTA","PALKKIOHERKKYYS","PSYKOPATIA","AUTISMI","AHDISTUNEISUUS","MASENNUS","STRESSI","SEKSUAALIVIETTI","EMPATIA","SAATELY_KOGN","SAATELY_PEIT","AGGRESSIIVISUUS","NEUROTISISMI","ULOSPAINSUUNT","AVOIMUUS","SOVINNOLLISUUS","TUNNOLLISUUS","YKSINAISYYS"
"1","Mies","Oikea",12.3,11.3,21,28.9,54,1.63,2.86,11.5,37,25,18.8,62,44,25,40,39,50,56
"2","Mies","Oikea",17.2,10.8,18,18.3,30,2.96,4.86,5.5,54,31,8.2,37,32,33,32,57,44,31
"3","Mies","Oikea",18.9,8,26,7.3,30,2.16,2.06,19.3,46,31,12.3,47,25,43,50,51,37,29
"4","Nainen","Oikea",15,14.2,21,16.5,37,3.82,7.17,4.1,32,33,20.9,39,39,45,42,50,39,27
"5","Mies","Oikea",16.7,7.4,18,15.5,38,8.62,8.38,6.9,57,31,8.8,43,30,51,53,51,45,33
"6","Mies","Oikea",12.8,13,26,16.8,44,2.79,-0.12,19.1,31,25,9.9,58,32,44,53,44,39,34
"7","Mies","Oikea",14.7,7.1,20,14.6,42,4.64,2.14,10,54,31,13.6,43,30,36,51,50,50,27
"8","Nainen","Oikea",19.9,14,19,10.2,40,-0.37,4.73,5.5,46,35,17.1,37,30,40,45,46,40,24
"9","Mies","Oikea",11.7,12,18,12.3,38,-0.09,5.17,6.8,40,28,17.2,55,30,42,42,47,44,37
"10","Nainen","Oikea",8.6,17.5,20,33.1,50,27.26,9.14,5.6,37,20,16.4,61,40,43,50,48,31,33
"11","Nainen","Oikea",13,7.4,24,10.9,41,11.49,7.22,6.4,61,27,6.8,58,33,51,40,47,61,28
"12","Nainen","Oikea",25.5,9.7,23,19,50,13.9,3.86,27.2,28,17,10.8,74,42,35,48,34,34,62
"13","Mies","Oikea",12.8,12,23,17.6,50,11.41,8.11,24,39,28,21.2,70,42,33,43,43,38,45
"14","Nainen","Oikea",14,10.2,27,13.3,34,4.93,0.8,18.1,36,30,19.3,48,30,39,48,41,44,35
"15","Nainen","Oikea",13.8,13.1,24,13.3,37,4.76,1.27,15.2,56,32,18,46,29,42,55,50,50,32
"16","Mies","Oikea",11.8,9.8,18,15.8,47,11.33,10.28,5,56,31,8.1,42,40,33,44,51,51,29
"17","Nainen","Oikea",16.2,6.1,20,14,52,15.56,10,13.4,58,27,8.9,61,46,36,37,46,43,34
"18","Mies","Oikea",17,10.1,26,17.7,48,17.99,9.23,7.2,45,29,15.1,74,40,42,49,42,49,45
"19","Nainen","Oikea",11.6,9.9,19,11.1,28,-0.05,6.83,12.5,57,28,10.9,41,27,39,44,47,47,32
"20","Mies","Oikea",15.2,6.2,28,15.4,39,6.56,7.78,13.5,42,30,20.5,55,33,47,41,53,54,35
"21","Mies","Oikea",17.1,9.1,20,10.9,28,-0.32,1.35,13.4,54,36,12.3,38,21,48,45,54,46,29
"22","Nainen","Oikea",8.1,11.2,18,16.5,38,3.91,12.97,14,57,29,18.3,36,30,33,53,57,41,32
"23","Nainen","Oikea",11.5,5.9,20,18.9,42,3.77,6.38,6,50,29,11.2,40,43,30,38,58,51,26
"24","Mies","Oikea",21.9,6,25,14,40,19.69,6.93,15.9,33,33,19.1,63,24,43,47,43,40,52
