Performance	Hours	Educ	Rating	Entry	Extra	Stress
56.61656	10.8641	13	5.94	49.3030278	NA	80.40595137
54.42863	10.8437	13	5.13	50.2580579	NA	61.58749091
51.80345	10.8074	12	5.84	49.4694409	NA	72.55192204
46.36958	10.0819	13	4.71	49.9882493	NA	73.14303528
63.05735	8.8082	13	7.21	50.1880991	NA	71.41226344
46.99399	11.1308	13	5.24	49.7489698	NA	68.84369644
58.56275	9.8104	14	5.59	50.0631836	NA	70.54717934
74.25662	9.6057	13	6.62	50.2514997	NA	62.79338381
69.03763	10.0461	12	5.83	49.9687591	NA	58.84869723
58.61781	9.8839	13	5.55	49.5383453	NA	69.60868308
80.65728	8.7179	13	6.59	49.6145268	NA	72.87520374
50.85874	9.6445	12	6.07	49.2863957	NA	78.80298171
60.50563	10.8107	12	6.5	50.1527931	NA	60.13148251
63.38907	10.4356	12	4.14	49.8743795	NA	71.50170968
57.1178	10.8894	12	5.83	49.5665892	NA	67.17377855
64.67194	11.2213	13	5.49	49.2345994	5.3	65.51188593
48.27646	10.6711	13	7.16	50.0271268	NA	75.36013115
52.19817	10.4963	13	5.31	49.9928174	NA	73.06739679
53.62369	9.2086	13	8.65	49.6339014	NA	69.13594894
81.12083	10.5056	13	6.38	49.9091297	NA	65.28563124
56.42933	9.9467	13	5.84	50.4200452	NA	58.91546644
55.19576	9.4531	13	6.96	50.1734716	NA	66.62599845
51.8007	9.6695	13	5.07	49.8303112	NA	70.53762889
45.62191	9.7978	13	6.28	49.9068822	NA	67.06267928
58.87423	9.8823	13	4.12	50.0156717	NA	65.02485335
54.93763	8.1198	12	6.55	49.8625915	NA	76.61541304
65.11598	9.821	13	5.12	50.0157738	NA	73.12480872
38.03764	11.0937	13	5.19	49.6043167	NA	65.23262284
62.07726	11.5091	12	6.43	49.2635714	NA	72.31407329
66.81282	9.9829	13	5.65	49.5502745	NA	67.31530673
67.31303	9.2758	13	6.63	50.0196159	NA	69.44674976
80.33719	8.4794	14	6.31	50.1457911	NA	70.802855
62.29581	8.5026	13	6.57	49.8980649	NA	64.03420708
56.69484	9.7105	13	5.74	49.5038551	NA	75.11342307
52.352	10.4944	13	7.37	49.3620877	NA	72.23916512
60.99596	9.6775	13	6.51	49.5877706	5.6	71.20288314
42.19735	10.6933	13	5.05	50.0145066	NA	999
61.26563	9.508	14	6.16	50.1171018	NA	72.05209028
61.45084	10.7621	13	6.34	49.6024084	5.6	68.98038918
73.21136	10.0136	13	6.73	49.8735615	NA	999
66.28092	10.5549	12	7.4	49.5022521	NA	73.08587283
57.37904	9.0993	14	5.32	50.9051053	NA	71.71813376
70.89208	10.4312	12	5.58	49.4834908	NA	999
57.97746	11.0154	13	4.38	50.467606	6	70.95733694
51.38068	8.8224	13	6.87	50.268041	NA	76.34383536
63.31553	10.0192	13	5.25	50.6935196	NA	999
58.33823	9.9008	13	4.81	50.5101491	NA	67.02715912
70.49862	10.1164	13	5.45	49.6067612	NA	71.42757114
57.54698	10.4465	13	6.63	50.2700039	NA	75.28369323
53.0713	9.9051	12	5.08	49.696441	NA	999
52.62527	10.6796	13	6.38	50.7150037	NA	62.43753209
42.19735	10.6933	13	5.05	50.0145066	NA	73.31958153
61.26563	9.508	14	6.16	50.1171018	NA	72.05209028
61.45084	10.7621	13	6.34	49.6024084	5.6	68.98038918
73.21136	10.0136	13	6.73	49.8735615	NA	74.89517963
66.28092	10.5549	12	7.4	49.5022521	NA	73.08587283
57.37904	9.0993	14	5.32	50.9051053	NA	71.71813376
70.89208	10.4312	12	5.58	49.4834908	NA	77.8625852
57.97746	11.0154	13	4.38	50.467606	6	70.95733694
51.38068	8.8224	13	6.87	50.268041	NA	76.34383536
63.31553	10.0192	13	5.25	50.6935196	NA	67.23271198
58.33823	9.9008	13	4.81	50.5101491	NA	67.02715912
70.49862	10.1164	13	5.45	49.6067612	NA	71.42757114
57.54698	10.4465	13	6.63	50.2700039	NA	75.28369323
53.0713	9.9051	12	5.08	49.696441	NA	66.70911445
52.62527	10.6796	13	6.38	50.7150037	NA	62.43753209
53.85008	11.5476	13	5.46	49.5880845	5.8	66.78601089
54.41516	10.7412	13	6.08	49.8017983	NA	70.13873654
68.94046	11.2379	13	4.9	49.6921168	NA	68.03977159
63.27391	9.7017	12	6.13	50.3295626	NA	72.27200311
71.49914	9.5371	13	5.74	49.6771828	NA	71.71412915
67.36044	10.6706	13	6.72	49.6157885	NA	69.44870163
46.98615	9.9966	13	5.72	49.4815725	NA	75.44277031
60.45951	8.3911	13	7.38	50.1823999	NA	72.46956362
53.97683	9.9862	13	4.04	48.9754671	NA	72.60868266
70.9711	8.9786	13	7.47	49.7806146	NA	78.37988272
47.48811	9.8002	13	6.22	49.4684426	NA	65.65848512
50.84568	10.5341	12	6.28	49.3101022	6	63.61356399
59.11744	9.2255	14	7.68	49.8180344	NA	68.70413163
67.64862	7.8843	14	7.66	50.6301921	NA	70.59718243
52.30112	11.233	13	6.35	48.6794873	4.8	72.33491409
73.2608	9.0901	13	5.63	50.6823847	NA	77.88766461
60.88361	8.4847	14	5.03	49.3455134	NA	77.20130299
55.18235	9.2628	12	6.16	49.5937664	NA	67.88038102
