subid;sex;age;country;person;bond;valence;face;hand;leg
10538;male;26;japan;Partner;NA;NA;NA;NA;NA
10538;male;26;japan;Mother;9;10;0.048679;0;0
10538;male;26;japan;Father;1;1;0;0;0
10538;male;26;japan;Sister;1;1;0;0.33487;0
10538;male;26;japan;Brother;NA;NA;NA;NA;NA
10538;male;26;japan;Aunt;1;1;0;0.23686;0
10538;male;26;japan;Uncle;1;1;0;0;0
10538;male;26;japan;F_Cousin;1;1;0;0;0
10538;male;26;japan;M_Cousin;1;1;0;0;0
10538;male;26;japan;F_Friend;NA;NA;NA;NA;NA
10538;male;26;japan;M_Friend;NA;NA;NA;NA;NA
10538;male;26;japan;F_Acq;NA;NA;NA;NA;NA
10538;male;26;japan;M_Acq;NA;NA;NA;NA;NA
10538;male;26;japan;F_Stranger;1;1;0;0.16087;0
10538;male;26;japan;M_Stranger;1;1;0.00046361;0.28409;9.71E-05
12006;male;29;japan;Partner;NA;NA;NA;NA;NA
12006;male;29;japan;Mother;10;9;1;1;0.98942
12006;male;29;japan;Father;8;7;1;1;0.9538
12006;male;29;japan;Sister;9;8;1;1;0.9441
12006;male;29;japan;Brother;NA;NA;NA;NA;NA
12006;male;29;japan;Aunt;8;8;1;1;0.91343
12006;male;29;japan;Uncle;8;8;1;1;0.91625
12006;male;29;japan;F_Cousin;1;1;1;1;0.96613
12006;male;29;japan;M_Cousin;7;7;1;1;0.99224
12006;male;29;japan;F_Friend;6;9;1;1;0.9835
12006;male;29;japan;M_Friend;8;8;1;1;0.92314
12006;male;29;japan;F_Acq;7;9;1;1;0.99486
12006;male;29;japan;M_Acq;7;8;1;1;0.99524
12006;male;29;japan;F_Stranger;4;9;1;1;0.888
12006;male;29;japan;M_Stranger;4;7;1;1;0.56007
14154;male;29;japan;Partner;NA;NA;NA;NA;NA
14154;male;29;japan;Mother;1;3;0;0;0
14154;male;29;japan;Father;5;2;0;0;0
14154;male;29;japan;Sister;6;4;0;0;0
14154;male;29;japan;Brother;NA;NA;NA;NA;NA
14154;male;29;japan;Aunt;1;3;0.0013908;0.45987;0.0009705
14154;male;29;japan;Uncle;1;3;0.067687;0.53622;0.0001941
14154;male;29;japan;F_Cousin;1;4;0.0013908;0.9098;0.0014557
14154;male;29;japan;M_Cousin;1;4;0.090403;0.78018;0.0007764
14154;male;29;japan;F_Friend;NA;NA;NA;NA;NA
14154;male;29;japan;M_Friend;2;4;0;0;0
14154;male;29;japan;F_Acq;NA;NA;NA;NA;NA
14154;male;29;japan;M_Acq;3;3;0;0;0
14154;male;29;japan;F_Stranger;2;3;0;0;0
14154;male;29;japan;M_Stranger;2;2;0;0;0
15665;male;34;japan;Partner;10;10;0.99861;0.95632;0.97739
15665;male;34;japan;Mother;9;9;0.0013908;0.86967;0.0005823
15665;male;34;japan;Father;9;9;0.0013908;0.83239;0.0003882
15665;male;34;japan;Sister;8;8;0.0018544;0.74325;0.0003882
15665;male;34;japan;Brother;NA;NA;NA;NA;NA
15665;male;34;japan;Aunt;7;8;0.0018544;0.71129;0.0003882
15665;male;34;japan;Uncle;7;7;0.0013908;0.61577;0.0003882
15665;male;34;japan;F_Cousin;6;7;0.00092721;0.79297;0.00048525
15665;male;34;japan;M_Cousin;6;6;0.0018544;0.83274;0.0015528
15665;male;34;japan;F_Friend;7;6;0.0013908;0.79759;0.00067935
15665;male;34;japan;M_Friend;7;7;0.0013908;0.93146;0.0014557
15665;male;34;japan;F_Acq;6;7;0.0018544;0.82173;0.0005823
15665;male;34;japan;M_Acq;6;6;0.0018544;0.75391;0.0003882
15665;male;34;japan;F_Stranger;5;6;0;0;0
15665;male;34;japan;M_Stranger;5;6;0;0;0
18277;male;47;japan;Partner;6;9;0.00092721;0.34162;0.0014557
18277;male;47;japan;Mother;6;8;0.00092721;0.17543;0.0041731
18277;male;47;japan;Father;NA;NA;NA;NA;NA
18277;male;47;japan;Sister;5;8;0;0;0
18277;male;47;japan;Brother;NA;NA;NA;NA;NA
18277;male;47;japan;Aunt;5;7;0;0;0
18277;male;47;japan;Uncle;5;7;0;0;0
18277;male;47;japan;F_Cousin;5;7;0;0;0
18277;male;47;japan;M_Cousin;5;7;0;0;0
18277;male;47;japan;F_Friend;5;7;0;0;0
18277;male;47;japan;M_Friend;5;7;0;0;0
18277;male;47;japan;F_Acq;5;7;0;0;0
18277;male;47;japan;M_Acq;5;7;0;0;0
18277;male;47;japan;F_Stranger;5;7;0;0;0
18277;male;47;japan;M_Stranger;5;7;0;0;0
21228;male;20;japan;Partner;NA;NA;NA;NA;NA
21228;male;20;japan;Mother;10;8;0;0;9.71E-05
21228;male;20;japan;Father;10;8;0;0;9.71E-05
21228;male;20;japan;Sister;NA;NA;NA;NA;NA
21228;male;20;japan;Brother;10;7;0;0;9.71E-05
21228;male;20;japan;Aunt;9;7;0;0;0
21228;male;20;japan;Uncle;9;7;0;0;9.71E-05
21228;male;20;japan;F_Cousin;NA;NA;NA;NA;NA
21228;male;20;japan;M_Cousin;9;7;0;0;9.71E-05
21228;male;20;japan;F_Friend;7;7;0;0;9.71E-05
21228;male;20;japan;M_Friend;8;6;0;0;9.71E-05
21228;male;20;japan;F_Acq;7;7;0;0;9.71E-05
21228;male;20;japan;M_Acq;7;6;0;0;9.71E-05
21228;male;20;japan;F_Stranger;3;4;0;0;9.71E-05
21228;male;20;japan;M_Stranger;3;2;0;0;0
21464;male;46;japan;Partner;4;2;0.87436;0.4897;0.77504
21464;male;46;japan;Mother;2;1;0.00046361;0.37713;0
21464;male;46;japan;Father;NA;NA;NA;NA;NA
21464;male;46;japan;Sister;5;5;0.0018544;0.41087;0
21464;male;46;japan;Brother;NA;NA;NA;NA;NA
21464;male;46;japan;Aunt;NA;NA;NA;NA;NA
21464;male;46;japan;Uncle;2;5;0.0018544;0.49751;0
21464;male;46;japan;F_Cousin;2;5;0.00046361;0.45419;9.71E-05
21464;male;46;japan;M_Cousin;NA;NA;NA;NA;NA
21464;male;46;japan;F_Friend;NA;NA;NA;NA;NA
21464;male;46;japan;M_Friend;NA;NA;NA;NA;NA
21464;male;46;japan;F_Acq;NA;NA;NA;NA;NA
21464;male;46;japan;M_Acq;NA;NA;NA;NA;NA
21464;male;46;japan;F_Stranger;1;1;0.0018544;0.49716;9.71E-05
21464;male;46;japan;M_Stranger;1;1;0.0013908;0.49574;9.71E-05
21784;male;37;japan;Partner;NA;NA;NA;NA;NA
21784;male;37;japan;Mother;7;5;0.062587;0.55398;0.0001941
21784;male;37;japan;Father;7;5;0;0;0
21784;male;37;japan;Sister;6;5;0.00092721;0.54794;0
21784;male;37;japan;Brother;NA;NA;NA;NA;NA
21784;male;37;japan;Aunt;NA;NA;NA;NA;NA
21784;male;37;japan;Uncle;4;4;0.00092721;0.51278;0
21784;male;37;japan;F_Cousin;4;4;0.00046361;0.55007;0
21784;male;37;japan;M_Cousin;4;4;0;0.40732;0
21784;male;37;japan;F_Friend;3;4;0.00046361;0.49574;0
21784;male;37;japan;M_Friend;6;4;0.00046361;0.62749;0
21784;male;37;japan;F_Acq;2;3;0.00046361;0.41548;0
21784;male;37;japan;M_Acq;2;3;0.00092721;0.4517;0.0011646
21784;male;37;japan;F_Stranger;2;3;0.00092721;0.51278;0
21784;male;37;japan;M_Stranger;2;3;0.00046361;0.42507;0
27211;male;59;japan;Partner;2;3;0.002318;0.94638;0.022807
27211;male;59;japan;Mother;5;4;0.75429;0.77344;0.35452
27211;male;59;japan;Father;NA;NA;NA;NA;NA
27211;male;59;japan;Sister;6;3;0.0018544;0.89169;0.00048525
27211;male;59;japan;Brother;NA;NA;NA;NA;NA
27211;male;59;japan;Aunt;3;2;0.0013908;0.95526;0.0001941
27211;male;59;japan;Uncle;5;2;0.0018544;0.92578;9.71E-05
